Topic,Words
Topic 33,"bilateral_trade, national_flexibility, international_criminal, trade, tariff, international_trade, deportation, parallel_trade, fet, needsbased_hierarchy"
Topic 34,"disclosure, cvc_funding, disclosure_obligation, secrecy, trade_secret, stock_price, disclose_knowledge, datum_breach, crash_risk, concept_learning"
Topic 35,"female_male, debt_financing, innovative_firm, expenditure_disclosure, asymmetry, generalized_selfefficacy, industrylevel_competition, lose_race, selfbelief, growthoriented_outcome"
Topic 36,"ip_commercialisation, export, ip_treaty, regional_innovation, key_laboratory, knowhow_reputation, technology_purchase, exporter, foreign_direct_investment, georgia"
Topic 37,"subsidy, strong_debtor, corporate_tax, monetary_policy, economic_growth, patent_breadth, growth_welfare, coordination_requirement, inflation, welfaremaximize"
Topic 38,"trademark, stable_outcome, tm_logo, transfer_learning, protect_consumer, video_game, registration, trademark_owner, pto, forfeiture_mechanism"
Topic 39,"computer_program, chomsky, bulletproof_vest, registry, intellectual, source_code, property, physicalism, g20, properly"
Topic 40,"claim_construction, postaipa, parent_application, central_claiming, technological_geographical, accession, patent_assertion, claim, embodiment_distinct, preaipa_patent"
Topic 41,"cash_holding, highvalue_patent, robot_adoption, foreign_subsidiary, subsidiary, mnc, foreign_cash, antidumpe_investigation, subsidiary_board, expatriate_ceo"
Topic 42,"ipr_protection, ipr, country_image, south, mnes, country, fdi, ntpu, internationalization, develop_country"
Topic 43,"learning, firm, supplier, organizational_performance, emotional_behavioral, innovation, innovation_performance, formal_appropriability, appropriability_mechanism, corporate_innovation"
Topic 44,"administrative_procedural, positive_association, llc, constructive_notice, patent_enforcer, pregrant_patent, tc_heartland, family_firm, ebay, notice"
Topic 45,"federal_circuit, court, judge, courts, supreme_court, district_court, litigation, adjudication, validity, plaintiff"
Topic 46,"ith_region, incumbent, maximize, cross_licensing, trust_equity, legal_sphere, evaluation_purpose, core_competence, iraq, costreduce_innovation"
Topic 47,"technical_feature, earnout, grantback_clause, technical_solution, enforcement_stage, catchphrase, light_of_principle, prevent_repair, legal_representative, severable_innovation"
Topic 48,"copyright_law, artistic, 17_usc, build_sell, aigenerate_output, individuation_thesis, independent_creation, copyright_subsist, copyright, instruction"
Topic 49,"technical_phrase, query, knowledge_exploration, deep_learning, topic_change, candidate_phrase, weight, keyword, keyphrase_generation, iktn"
Topic 50,"pledge, human_inventorship, evaluation_process, classification, planning, fuel_cell, knowledge_adaptation, foresight_bias, knowledge_adaptability, interface"
Topic 51,"patent_schism, hybrid_pae, hybrid_paes, pto, lowvalue, patent_privateer, litigate, earlystage, nuisance, patent_troll"
Topic 52,"university, university_patenting, commercialization_of_academic, academic_spinoff, academic_promotion, academic, spinoff, universityindustry_collaboration, commercialization_of_university, bayhdole"
Topic 53,"st, firm_engagement, government_scientist, science_technology, scientific_discovery, academic_scientist, camelina, science_linkage, government_funding, science"
